"행정구역","2022년_거주자 인구수","2022년_세대수","2022년_남자 인구수","2022년_여자 인구수"
"제주특별자치도  (5000000000)","674,620","308,632","337,767","336,853"
"제주특별자치도 제주시 (5011000000)","490,735","220,573","245,148","245,587"
"제주특별자치도 서귀포시 (5013000000)","183,885","88,059","92,619","91,266"
